location,year,employer,non_group,medicaid,medicare,military,uninsured,total
West Virginia,2016,55.7,4.7,29.3,3.5,1.3,5.5,100
Wisconsin,2016,66.9,9.1,15.2,1.7,0.9,6.2,100
Wyoming,2016,63.3,10.7,9.5,1.3,3,12.2,100
Alabama,2017,58,8.6,13.6,4.2,2.3,13.3,100
Alaska,2017,54.7,4.8,19.5,0,6.2,14.3,100
Arizona,2017,55.9,7.8,20.8,1.8,1.8,12,100
Arkansas,2017,53.9,8.7,22,3.7,1.8,9.9,100
California,2017,55.6,9.8,23.6,1.4,0.9,8.6,100
Colorado,2017,60.4,9.7,16.9,1.3,2.6,9,100
Connecticut,2017,64.5,7.7,18.8,1.9,0.7,6.3,100
Delaware,2017,66.5,7.2,15.6,2.6,1.7,6.4,100
District of Columbia,2017,64.8,7.2,23.3,1,0.7,3,100
Florida,2017,52,13.9,12.8,2.2,2.1,17.1,100
Georgia,2017,59,8.9,10.3,2.2,2.5,17.2,100
Hawaii,2017,67.8,5.9,15,1.4,5.4,4.5,100
Idaho,2017,57.1,13.2,11,1.5,1.7,15.5,100
Illinois,2017,63.8,7.8,17.6,1.8,0.5,8.5,100
Indiana,2017,63.8,7.5,15.7,2.3,0.8,10,100
Iowa,2017,67.9,8.3,16.4,1.4,0.7,5.3,100
Kansas,2017,66.6,8.9,9.1,2.2,2.5,10.8,100
Kentucky,2017,56.7,5.8,26.4,3.4,1.6,6.2,100
Louisiana,2017,53.1,7.8,25.2,2.3,1.5,10.1,100
Maine,2017,62,9,15.8,1.7,1.5,10,100
Maryland,2017,66.8,7.1,15.8,1.7,2,6.6,100
Massachusetts,2017,65.3,6.9,23.2,1.2,0.4,2.9,100
Michigan,2017,62.2,7.4,21.8,2.2,0.6,5.8,100
Minnesota,2017,68.3,7.4,16.6,1.8,0.8,5.2,100
Mississippi,2017,54.2,8.2,16.1,2.8,2.1,16.5,100
Missouri,2017,63.3,9.1,11,3.2,1.4,12.1,100
Montana,2017,55.6,12,17.9,1.7,1.9,11,100
Nebraska,2017,66.3,10.7,8.9,1.4,2.2,10.5,100
Nevada,2017,59,7.1,16.9,2.3,1.8,13,100
New Hampshire,2017,70.2,7.5,11.1,3.1,0.8,7.2,100
New Jersey,2017,66.1,7.5,14.3,2,0.5,9.7,100
New Mexico,2017,46.8,6.4,31,2.5,2.2,11.1,100
New York,2017,60,7.1,24.4,1.7,0.4,6.4,100
North Carolina,2017,58.2,9.7,12.6,2.4,2.9,14.1,100
North Dakota,2017,68.3,11.1,8.6,1.4,2.1,8.4,100
Ohio,2017,62.7,6.5,20.7,2.6,0.8,6.7,100
Oklahoma,2017,57.2,8.1,10.3,3.2,2.3,18.8,100
Oregon,2017,57.8,9.4,21.5,2.1,0.8,8.3,100
Pennsylvania,2017,64.3,8.1,18.2,2.8,0.6,6,100
Puerto Rico,2017,29.8,10.6,47.2,4.2,0.5,7.7,100
Rhode Island,2017,60.9,7.5,23.9,1.9,0.7,5,100
South Carolina,2017,56.8,9.1,14.1,3.1,2.3,14.6,100
South Dakota,2017,64.2,12.2,9,1.7,2,11,100
Tennessee,2017,58.2,8.3,17.4,2.8,2,11.4,100
Texas,2017,56.9,8.2,9.1,1.7,1.7,22.4,100
United States,2017,59.8,8.7,17.1,2.1,1.5,10.8,100
Utah,2017,67.9,11.2,7.9,1.4,1.1,10.5,100
Vermont,2017,58,7.4,26.4,1.6,0,5.6,100
Virginia,2017,63.8,9.2,8.1,2.5,5.2,11.3,100
Washington,2017,62.3,8.2,17.8,1.9,2.3,7.5,100
West Virginia,2017,53.5,5.6,28.4,3.9,1.4,7.2,100
Wisconsin,2017,67.8,8.9,15.1,1.5,0.7,6,100
Wyoming,2017,61.2,9,10.8,1.4,2.5,15,100
Alabama,2018,58.8,7.5,13.7,3.6,2.5,13.9,100
Alaska,2018,55.6,5.4,17.6,0,6.2,13.6,100
Arizona,2018,55.5,7.4,20,2,1.8,13.4,100
Arkansas,2018,53.4,8.1,23.7,3.6,1.2,10,100
California,2018,56.2,9.5,23.5,1.3,1,8.6,100
Colorado,2018,61.9,9.3,16.2,1.6,2.4,8.6,100
Connecticut,2018,65,7.6,19.2,1.5,0.6,6.2,100
Delaware,2018,63,6,20.9,2.3,1.4,6.3,100
District of Columbia,2018,61.3,9.4,24.7,0,0.7,3.2,100
Florida,2018,52.6,13.7,12.2,2.2,2,17.4,100
Georgia,2018,59.2,7.7,10.7,2.2,2.6,17.7,100
Hawaii,2018,67.9,6.7,14.8,1.1,5.7,3.8,100
Idaho,2018,58.9,12.3,9.4,1.7,1.9,15.8,100
Illinois,2018,64.4,7.5,16.8,1.7,0.6,9,100
Indiana,2018,65,6.4,15.4,2.4,0.7,10.1,100
Iowa,2018,67.4,7.3,17.5,1.4,0.7,5.7,100
Kansas,2018,66.7,7.9,9.5,1.9,2.5,11.5,100
Kentucky,2018,57.2,5.6,25.5,3.4,1.6,6.7,100
Louisiana,2018,52.7,7,26.7,2.5,1.7,9.4,100
Maine,2018,60.9,9.8,15.7,1.9,1.8,9.9,100
Maryland,2018,66,7,16.2,1.8,2,7,100
Massachusetts,2018,65.1,7.4,22.9,1.1,0.5,3,100
Michigan,2018,62,7,21.8,2.4,0.5,6.3,100
Minnesota,2018,69.3,7.3,16.8,1.5,0.7,4.4,100
Mississippi,2018,55.2,7.1,16.2,3.1,1.7,16.6,100
Missouri,2018,64.5,8,11,3,1.5,12.1,100
Montana,2018,57.1,11.1,18.2,1.7,2.4,9.4,100
Nebraska,2018,67.2,8.9,9,1.4,2.2,11.2,100
Nevada,2018,58.1,6.9,16.8,1.8,2.3,14.1,100
New Hampshire,2018,70.5,6.6,12.6,3.1,1,6.2,100
New Jersey,2018,67.6,7.2,14,1.8,0.4,9,100
New Mexico,2018,46.6,6.5,31,2.2,2.1,11.6,100
New York,2018,60.2,7.2,24.5,1.7,0.4,6,100
North Carolina,2018,58.6,9.2,12.5,2.6,3,14.1,100
North Dakota,2018,67,10.1,9.6,2.7,2.5,8.1,100
Ohio,2018,62.9,6.1,20.5,2.3,0.8,7.5,100
Oklahoma,2018,57.2,8.3,10.7,3,2.1,18.6,100
Oregon,2018,58.8,8.9,20.4,1.8,1.2,8.9,100
Pennsylvania,2018,65,7.5,18.5,2.1,0.6,6.3,100
Puerto Rico,2018,30.4,10,48.5,3.7,0.6,6.8,100
Rhode Island,2018,64,6.8,21.5,2,1.1,4.6,100
South Carolina,2018,57.2,8.8,14.7,2.8,2.7,13.8,100
South Dakota,2018,65.9,10.8,8.9,1.5,2.5,10.4,100
Tennessee,2018,57.3,7.9,17,2.8,2.1,12.8,100
Texas,2018,56.8,8,8.8,1.6,1.8,22.9,100
United States,2018,60.2,8.3,17,2,1.5,11,100
Utah,2018,66.9,11.4,8.3,1.3,1.4,10.7,100
Vermont,2018,63.5,8.3,20.9,2.1,0,4.4,100
Virginia,2018,65.2,8.3,8.5,2.5,5,10.5,100
Washington,2018,63,7.4,17.8,1.5,2.2,8,100
West Virginia,2018,56,4.6,26.6,3.7,1.1,8,100
Wisconsin,2018,68.5,7.8,14.4,1.6,0.7,7,100
Wyoming,2018,64,11.1,8.2,1.4,2.1,13.2,100
Alabama,2019,58.8,7.8,13.9,3.8,2.4,13.3,100
Alaska,2019,59.1,4.1,17,1.3,6.5,11.9,100
Arizona,2019,56.8,6.9,18.8,1.9,1.7,13.8,100
Arkansas,2019,53.6,7.6,22.6,3.5,1.5,11.3,100
California,2019,57,8.7,22.5,1.3,0.9,9.5,100
Colorado,2019,63.5,9.2,14,1.3,2.5,9.5,100
Connecticut,2019,63.8,6.8,20.4,1.7,0.7,6.6,100
Delaware,2019,63.5,6.4,18.4,2,2.1,7.5,100
District of Columbia,2019,65.9,7.3,22.7,0.6,0.9,2.7,100
Florida,2019,52.9,13.8,11.8,2.3,1.9,17.3,100
Georgia,2019,60.4,7.5,10.5,2.3,2.3,17,100
Hawaii,2019,67.8,5.8,15.5,1.1,4.5,5.4,100
Idaho,2019,60.3,11.4,9.3,1.8,1.8,15.5,100
Illinois,2019,65.3,7,16.2,1.9,0.6,8.9,100
Indiana,2019,64.1,6.1,16.2,2.4,1,10.2,100
Iowa,2019,67.2,6.5,18.6,1.4,0.9,5.4,100
Kansas,2019,66,7.5,9.8,2,2.2,12.6,100
Kentucky,2019,57.7,5.4,24.3,3.5,1.4,7.7,100
Louisiana,2019,51.8,6.7,27.4,2.6,1.4,10.1,100
Maine,2019,60,8.4,17.6,2.7,1.5,9.8,100
Maryland,2019,65.8,7.1,16,1.9,2.1,7.1,100
Massachusetts,2019,66.7,7.1,21.3,1.3,0.5,3.1,100
Michigan,2019,62.3,7.3,20.8,2.4,0.6,6.7,100
Minnesota,2019,69.9,6.6,16,1.5,0.6,5.5,100
Mississippi,2019,54.2,6.7,16.5,2.8,2,17.8,100
Missouri,2019,64.3,7.4,10.8,3.1,1.4,13,100
Montana,2019,55.1,11.3,18.1,2.8,1.6,11.2,100
Nebraska,2019,68.6,9.4,8.3,1.8,1.8,10.1,100
Nevada,2019,59.6,6.9,16,1.9,1.7,13.9,100
New Hampshire,2019,68.9,7.4,11.7,2.8,1.2,8,100
New Jersey,2019,66.8,7.1,13.8,2.1,0.5,9.8,100
New Mexico,2019,47.2,5.6,31.1,2.3,1.9,11.8,100
New York,2019,61.2,7.1,23.7,1.7,0.4,5.9,100
North Carolina,2019,58.2,9.4,12.3,2.4,2.7,14.9,100
North Dakota,2019,66.2,12,10.5,1.4,1.9,7.9,100
Ohio,2019,64.4,5.3,19.4,2.4,0.7,7.8,100
Oklahoma,2019,56.6,7.7,9.8,3,2.3,20.6,100
Oregon,2019,60.6,8.3,19.8,1.9,0.9,8.6,100
Pennsylvania,2019,64.3,7.1,18.8,2,0.9,6.9,100
Puerto Rico,2019,30.6,10.7,45.1,3.7,0.5,9.4,100
Rhode Island,2019,64.2,8.1,19.3,2.3,0.7,5.4,100
South Carolina,2019,58.3,8.6,13.9,3.2,2.4,13.6,100
South Dakota,2019,64.8,10.6,8.4,1.7,2.4,12.1,100
Tennessee,2019,58.8,7.7,16.4,2.6,1.9,12.5,100
Texas,2019,57.4,7.6,8.3,1.8,1.7,23.2,100
United States,2019,60.7,7.9,16.5,2,1.5,11.4,100
Utah,2019,68.3,10.8,6.7,0.8,1.4,11.9,100
Vermont,2019,61.4,6.9,24.2,1.9,0,4.6,100
Virginia,2019,65.7,7,10.7,2.4,4.9,9.4,100
Washington,2019,64,7,16.9,1.7,2.2,8.2,100
West Virginia,2019,56.6,3.5,27,3.6,1.2,8,100
Wisconsin,2019,69.1,7.6,14.5,1.3,0.8,6.7,100
Wyoming,2019,60.4,9.8,9.7,1.4,1.9,16.7,100
